Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1777082706,2026-04-25T02:05:06Z,RNA205,"27.701408,85.359276",0,0,292
1777082726,2026-04-25T02:05:26Z,RNA205,"27.701328,85.359505",0,0,292
1777082747,2026-04-25T02:05:47Z,RNA205,"27.701248,85.359711",0,2,292
1777082773,2026-04-25T02:06:13Z,RNA205,"27.701122,85.360001",0,2,219
1777082965,2026-04-25T02:09:25Z,RNA205,"27.700874,85.35994",0,7,202
1777082976,2026-04-25T02:09:36Z,RNA205,"27.700401,85.359726",0,11,202
1777082982,2026-04-25T02:09:42Z,RNA205,"27.700069,85.359573",0,12,202
1777082989,2026-04-25T02:09:49Z,RNA205,"27.699663,85.359383",0,13,202
1777083001,2026-04-25T02:10:01Z,RNA205,"27.698896,85.359039",0,15,202
1777083009,2026-04-25T02:10:09Z,RNA205,"27.698376,85.358795",0,17,202
1777083016,2026-04-25T02:10:16Z,RNA205,"27.69779,85.358543",0,19,202
1777083022,2026-04-25T02:10:22Z,RNA205,"27.697254,85.358299",0,19,202
1777083025,2026-04-25T02:10:25Z,RNA205,"27.697037,85.3582",0,18,202
1777083028,2026-04-25T02:10:28Z,RNA205,"27.696774,85.358086",0,15,202
1777083032,2026-04-25T02:10:32Z,RNA205,"27.696568,85.357986",0,13,202
1777083036,2026-04-25T02:10:36Z,RNA205,"27.696362,85.357887",0,12,202
1777083043,2026-04-25T02:10:43Z,RNA205,"27.696068,85.357758",0,10,202
1777083050,2026-04-25T02:10:50Z,RNA205,"27.695812,85.357643",0,9,202
1777083057,2026-04-25T02:10:57Z,RNA205,"27.69552,85.357498",0,8,202
1777083064,2026-04-25T02:11:04Z,RNA205,"27.695309,85.357407",0,7,199
1777083072,2026-04-25T02:11:12Z,RNA205,"27.695089,85.357376",0,5,185
1777083467,2026-04-25T02:17:47Z,RNA205,"27.694857,85.357552",0,5,140
1777083474,2026-04-25T02:17:54Z,RNA205,"27.694759,85.357773",0,7,120
1777083482,2026-04-25T02:18:02Z,RNA205,"27.694635,85.357986",0,6,123
1777083492,2026-04-25T02:18:12Z,RNA205,"27.694414,85.358109",0,6,157
1777083498,2026-04-25T02:18:18Z,RNA205,"27.69421,85.358093",0,8,182
1777083503,2026-04-25T02:18:23Z,RNA205,"27.694004,85.358017",0,10,196
1777083509,2026-04-25T02:18:29Z,RNA205,"27.693727,85.357895",0,12,202
1777083513,2026-04-25T02:18:33Z,RNA205,"27.693489,85.35778",0,14,202
1777083516,2026-04-25T02:18:36Z,RNA205,"27.693275,85.357681",0,15,202
1777083519,2026-04-25T02:18:39Z,RNA205,"27.693008,85.357567",0,16,202
1777083526,2026-04-25T02:18:46Z,RNA205,"27.692436,85.3573",0,20,202
1777083534,2026-04-25T02:18:54Z,RNA205,"27.691656,85.356941",0,24,202
1777083541,2026-04-25T02:19:01Z,RNA205,"27.690912,85.356598",0,26,199
1777083544,2026-04-25T02:19:04Z,RNA205,"27.690529,85.35643",0,26,202
1777083546,2026-04-25T02:19:06Z,RNA205,"27.690262,85.356323",0,26,202
1777083549,2026-04-25T02:19:09Z,RNA205,"27.68997,85.356178",0,25,202
1777083551,2026-04-25T02:19:11Z,RNA205,"27.689737,85.356071",0,25,202
1777083554,2026-04-25T02:19:14Z,RNA205,"27.689528,85.35598",0,25,202
1777083555,2026-04-25T02:19:15Z,RNA205,"27.689306,85.355873",0,25,202
1777083558,2026-04-25T02:19:18Z,RNA205,"27.689003,85.355736",0,24,202
1777083560,2026-04-25T02:19:20Z,RNA205,"27.688793,85.355652",0,23,202
1777083568,2026-04-25T02:19:28Z,RNA205,"27.688002,85.355278",0,21,202
1777083576,2026-04-25T02:19:36Z,RNA205,"27.687281,85.35495",0,22,202
1777083582,2026-04-25T02:19:42Z,RNA205,"27.686628,85.35466",0,23,202
1777083589,2026-04-25T02:19:49Z,RNA205,"27.686071,85.354408",0,24,202
1777083598,2026-04-25T02:19:58Z,RNA205,"27.684883,85.353859",0,24,202
1777083605,2026-04-25T02:20:05Z,RNA205,"27.684267,85.353592",0,21,199
1777083609,2026-04-25T02:20:09Z,RNA205,"27.683922,85.353432",0,20,202
1777083613,2026-04-25T02:20:13Z,RNA205,"27.68359,85.353279",0,18,202
1777083618,2026-04-25T02:20:18Z,RNA205,"27.683235,85.353104",0,14,202
1777083623,2026-04-25T02:20:23Z,RNA205,"27.683006,85.352989",0,10,208
1777083630,2026-04-25T02:20:30Z,RNA205,"27.682718,85.35273",0,12,219
1777083635,2026-04-25T02:20:35Z,RNA205,"27.682451,85.352478",0,15,219
1777083642,2026-04-25T02:20:42Z,RNA205,"27.682102,85.352158",0,14,216
1777083648,2026-04-25T02:20:48Z,RNA205,"27.681862,85.351982",0,9,213
1777083656,2026-04-25T02:20:56Z,RNA205,"27.681644,85.351967",0,6,177
1777083668,2026-04-25T02:21:08Z,RNA205,"27.681622,85.352341",0,5,81
1777083682,2026-04-25T02:21:22Z,RNA205,"27.681828,85.35247",0,3,33
1777083694,2026-04-25T02:21:34Z,RNA205,"27.682217,85.352654",0,12,22
1777083702,2026-04-25T02:21:42Z,RNA205,"27.682823,85.352928",0,0,22
1777083705,2026-04-25T02:21:45Z,RNA205,"27.683289,85.353142",0,28,22
1777083707,2026-04-25T02:21:47Z,RNA205,"27.683558,85.353256",0,35,22
1777083713,2026-04-25T02:21:53Z,RNA205,"27.685238,85.354027",0,0,22
1777083715,2026-04-25T02:21:55Z,RNA205,"27.685593,85.354179",0,70,22
1777083717,2026-04-25T02:21:57Z,RNA205,"27.686325,85.354523",0,80,22
1777083724,2026-04-25T02:22:04Z,RNA205,"27.689505,85.355949",4250,119,21
1777083733,2026-04-25T02:22:13Z,RNA205,"27.695435,85.358643",4275,152,21
1777083741,2026-04-25T02:22:21Z,RNA205,"27.701294,85.361336",4300,182,21
1777083749,2026-04-25T02:22:29Z,RNA205,"27.707939,85.364456",4700,183,22
1777083756,2026-04-25T02:22:36Z,RNA205,"27.713013,85.366776",5025,186,22
1777083767,2026-04-25T02:22:47Z,RNA205,"27.722044,85.370369",5650,187,13
1777083769,2026-04-25T02:22:49Z,RNA205,"27.723679,85.370659",5750,187,9
1777083771,2026-04-25T02:22:51Z,RNA205,"27.725784,85.370872",5900,187,5
1777083773,2026-04-25T02:22:53Z,RNA205,"27.727444,85.37085",6025,187,1
1777083775,2026-04-25T02:22:55Z,RNA205,"27.729353,85.370743",6125,186,357
1777083778,2026-04-25T02:22:58Z,RNA205,"27.731028,85.370422",6225,184,353
1777083780,2026-04-25T02:23:00Z,RNA205,"27.733063,85.369888",6325,182,346
1777083782,2026-04-25T02:23:02Z,RNA205,"27.734894,85.369057",6400,183,340
1777083784,2026-04-25T02:23:04Z,RNA205,"27.73645,85.368172",6450,182,335
1777083786,2026-04-25T02:23:06Z,RNA205,"27.737961,85.367088",6500,182,329
1777083788,2026-04-25T02:23:08Z,RNA205,"27.739334,85.365845",6550,182,322
1777083791,2026-04-25T02:23:11Z,RNA205,"27.740805,85.364136",6600,182,316
1777083793,2026-04-25T02:23:13Z,RNA205,"27.741829,85.362556",6650,182,309
1777083795,2026-04-25T02:23:15Z,RNA205,"27.74262,85.361023",6700,182,303
1777083797,2026-04-25T02:23:17Z,RNA205,"27.743319,85.35923",6750,182,296
1777083799,2026-04-25T02:23:19Z,RNA205,"27.743877,85.357224",6800,182,290
1777083801,2026-04-25T02:23:21Z,RNA205,"27.744249,85.35479",6875,182,281
1777083804,2026-04-25T02:23:24Z,RNA205,"27.74437,85.35273",6950,182,275
1777083806,2026-04-25T02:23:26Z,RNA205,"27.744295,85.350357",7025,182,269
1777083808,2026-04-25T02:23:28Z,RNA205,"27.744003,85.348427",7100,182,263
1777083810,2026-04-25T02:23:30Z,RNA205,"27.7435,85.346458",7175,181,257
1777083812,2026-04-25T02:23:32Z,RNA205,"27.742992,85.344864",7250,181,248
1777083814,2026-04-25T02:23:34Z,RNA205,"27.741943,85.342468",7350,180,243
1777083817,2026-04-25T02:23:37Z,RNA205,"27.741224,85.341164",7400,181,239
1777083819,2026-04-25T02:23:39Z,RNA205,"27.740059,85.339264",7475,181,236
1777083821,2026-04-25T02:23:41Z,RNA205,"27.739035,85.337624",7550,180,234
1777083823,2026-04-25T02:23:43Z,RNA205,"27.738052,85.336098",7625,180,235
1777083825,2026-04-25T02:23:45Z,RNA205,"27.737127,85.334404",7675,180,238
1777083827,2026-04-25T02:23:47Z,RNA205,"27.736103,85.332237",7750,180,241
1777083829,2026-04-25T02:23:49Z,RNA205,"27.735544,85.330811",7800,180,244
1777083832,2026-04-25T02:23:52Z,RNA205,"27.734846,85.328857",7850,181,247
1777083834,2026-04-25T02:23:54Z,RNA205,"27.73424,85.327057",7900,180,249
1777083836,2026-04-25T02:23:56Z,RNA205,"27.733635,85.325104",7975,180,251
1777083838,2026-04-25T02:23:58Z,RNA205,"27.73303,85.32299",8025,180,252
1777083840,2026-04-25T02:24:00Z,RNA205,"27.732565,85.321198",8075,181,252
1777083842,2026-04-25T02:24:02Z,RNA205,"27.731918,85.318947",8150,181,252
1777083845,2026-04-25T02:24:05Z,RNA205,"27.731415,85.31723",8200,181,251
1777083847,2026-04-25T02:24:07Z,RNA205,"27.730703,85.315018",8275,182,250
1777083849,2026-04-25T02:24:09Z,RNA205,"27.730087,85.31324",8325,182,249
1777083851,2026-04-25T02:24:11Z,RNA205,"27.729446,85.311424",8400,182,247
1777083853,2026-04-25T02:24:13Z,RNA205,"27.728531,85.309204",8450,183,245
1777083856,2026-04-25T02:24:16Z,RNA205,"27.727724,85.307411",8500,183,243
1777083858,2026-04-25T02:24:18Z,RNA205,"27.726746,85.305367",8550,184,241
1777083860,2026-04-25T02:24:20Z,RNA205,"27.726093,85.304138",8575,186,240
1777083862,2026-04-25T02:24:22Z,RNA205,"27.724823,85.301895",8600,189,238
1777083864,2026-04-25T02:24:24Z,RNA205,"27.723587,85.299973",8650,193,235
1777083866,2026-04-25T02:24:26Z,RNA205,"27.722788,85.298752",8675,195,233
1777083869,2026-04-25T02:24:29Z,RNA205,"27.721298,85.296692",8725,196,230
1777083871,2026-04-25T02:24:31Z,RNA205,"27.719696,85.294739",8800,198,228
1777083873,2026-04-25T02:24:33Z,RNA205,"27.718273,85.293152",8850,199,226
1777083875,2026-04-25T02:24:35Z,RNA205,"27.716923,85.291672",8900,200,224
1777083877,2026-04-25T02:24:37Z,RNA205,"27.715481,85.290245",8950,201,222
1777083879,2026-04-25T02:24:39Z,RNA205,"27.713991,85.288765",9025,202,220
1777083881,2026-04-25T02:24:41Z,RNA205,"27.712826,85.287659",9050,203,220
1777083883,2026-04-25T02:24:43Z,RNA205,"27.71129,85.286125",9125,202,221
1777083885,2026-04-25T02:24:45Z,RNA205,"27.709894,85.284592",9200,202,223
1777083888,2026-04-25T02:24:48Z,RNA205,"27.708527,85.283028",9250,201,226
1777083890,2026-04-25T02:24:50Z,RNA205,"27.707054,85.280952",9325,201,229
1777083892,2026-04-25T02:24:52Z,RNA205,"27.705917,85.279198",9375,200,234
1777083894,2026-04-25T02:24:54Z,RNA205,"27.704956,85.277435",9450,200,238
1777083896,2026-04-25T02:24:56Z,RNA205,"27.703903,85.275208",9525,200,242
1777083898,2026-04-25T02:24:58Z,RNA205,"27.703033,85.273026",9575,200,245
1777083901,2026-04-25T02:25:01Z,RNA205,"27.702446,85.271072",9650,200,249
1777083903,2026-04-25T02:25:03Z,RNA205,"27.701981,85.269066",9700,200,253
1777083905,2026-04-25T02:25:05Z,RNA205,"27.701614,85.266861",9775,199,259
1777083907,2026-04-25T02:25:07Z,RNA205,"27.701385,85.264374",9850,199,263
1777083909,2026-04-25T02:25:09Z,RNA205,"27.701281,85.26236",9900,199,266
1777083911,2026-04-25T02:25:11Z,RNA205,"27.70134,85.259918",9975,199,270
1777083913,2026-04-25T02:25:13Z,RNA205,"27.701477,85.257896",10050,199,273
1777083916,2026-04-25T02:25:16Z,RNA205,"27.701752,85.255669",10125,199,277
1777083918,2026-04-25T02:25:18Z,RNA205,"27.702255,85.253128",10200,199,280
1777083920,2026-04-25T02:25:20Z,RNA205,"27.702679,85.25116",10275,198,283
1777083922,2026-04-25T02:25:22Z,RNA205,"27.703217,85.248825",10350,196,284
1777083924,2026-04-25T02:25:24Z,RNA205,"27.703629,85.246803",10425,196,283
1777083927,2026-04-25T02:25:27Z,RNA205,"27.704027,85.244713",10475,196,282
1777083929,2026-04-25T02:25:29Z,RNA205,"27.704353,85.2425",10550,196,279
1777083931,2026-04-25T02:25:31Z,RNA205,"27.70454,85.24054",10600,197,276
1777083933,2026-04-25T02:25:33Z,RNA205,"27.704636,85.237839",10675,198,273
1777083936,2026-04-25T02:25:36Z,RNA205,"27.704681,85.235252",10750,199,271
1777083938,2026-04-25T02:25:38Z,RNA205,"27.704634,85.233521",10800,199,269
1777083940,2026-04-25T02:25:40Z,RNA205,"27.70454,85.231033",10850,200,267
1777083942,2026-04-25T02:25:42Z,RNA205,"27.704401,85.2285",10925,200,266
1777083944,2026-04-25T02:25:44Z,RNA205,"27.704269,85.22644",11000,200,266
1777083946,2026-04-25T02:25:46Z,RNA205,"27.704121,85.224274",11050,200,265
1777083949,2026-04-25T02:25:49Z,RNA205,"27.703936,85.221634",11150,201,265
1777083951,2026-04-25T02:25:51Z,RNA205,"27.703703,85.219048",11225,201,265
1777083953,2026-04-25T02:25:53Z,RNA205,"27.703583,85.217323",11275,201,265
1777083955,2026-04-25T02:25:55Z,RNA205,"27.703377,85.214607",11350,201,265
1777083958,2026-04-25T02:25:58Z,RNA205,"27.703262,85.212341",11400,202,265
1777083960,2026-04-25T02:26:00Z,RNA205,"27.703144,85.210487",11425,203,265
1777083973,2026-04-25T02:26:13Z,RNA205,"27.702398,85.195648",11625,216,267
1777083986,2026-04-25T02:26:26Z,RNA205,"27.701981,85.180908",11800,230,268
1777083999,2026-04-25T02:26:39Z,RNA205,"27.701523,85.163582",11875,252,268
1777084012,2026-04-25T02:26:52Z,RNA205,"27.701048,85.14637",12100,268,268
1777084044,2026-04-25T02:27:24Z,RNA205,"27.699745,85.098831",12850,295,268
1777084076,2026-04-25T02:27:56Z,RNA205,"27.698301,85.047859",14200,297,268
1777084108,2026-04-25T02:28:28Z,RNA205,"27.696905,84.998474",15500,299,268
1777084140,2026-04-25T02:29:00Z,RNA205,"27.697186,84.948456",16500,309,277
1777084142,2026-04-25T02:29:02Z,RNA205,"27.697744,84.945282",16575,309,280
1777084144,2026-04-25T02:29:04Z,RNA205,"27.698582,84.941696",16650,310,282
1777084146,2026-04-25T02:29:06Z,RNA205,"27.699326,84.938789",16725,310,285
1777084148,2026-04-25T02:29:08Z,RNA205,"27.700165,84.935669",16800,308,286
1777084150,2026-04-25T02:29:10Z,RNA205,"27.701202,84.931931",16875,308,286
1777084152,2026-04-25T02:29:12Z,RNA205,"27.702026,84.928879",16950,309,287
1777084155,2026-04-25T02:29:15Z,RNA205,"27.702942,84.925613",17000,310,287
1777084157,2026-04-25T02:29:17Z,RNA205,"27.703981,84.921989",17075,310,287
1777084159,2026-04-25T02:29:19Z,RNA205,"27.704819,84.918877",17125,311,287
1777084161,2026-04-25T02:29:21Z,RNA205,"27.705751,84.915604",17175,313,287
1777084163,2026-04-25T02:29:23Z,RNA205,"27.706879,84.911621",17225,314,287
1777084165,2026-04-25T02:29:25Z,RNA205,"27.707657,84.908768",17275,315,287
1777084168,2026-04-25T02:29:28Z,RNA205,"27.708801,84.904831",17350,316,287
1777084199,2026-04-25T02:29:59Z,RNA205,"27.722929,84.854279",18000,335,287
1777084229,2026-04-25T02:30:29Z,RNA205,"27.73736,84.802727",18600,353,287
1777084261,2026-04-25T02:31:01Z,RNA205,"27.753387,84.745682",19250,370,287
1777084293,2026-04-25T02:31:33Z,RNA205,"27.770691,84.68441",19900,383,287
1777084324,2026-04-25T02:32:04Z,RNA205,"27.787399,84.625046",20525,396,287
1777084356,2026-04-25T02:32:36Z,RNA205,"27.805651,84.559921",21150,407,287
1777084389,2026-04-25T02:33:09Z,RNA205,"27.824478,84.492737",21800,417,287
1777084421,2026-04-25T02:33:41Z,RNA205,"27.843033,84.426178",22375,426,287
1777084452,2026-04-25T02:34:12Z,RNA205,"27.861515,84.359787",23025,432,287
1777084483,2026-04-25T02:34:43Z,RNA205,"27.8806,84.291336",23675,438,287
1777084514,2026-04-25T02:35:14Z,RNA205,"27.899414,84.223366",24250,443,287
1777084545,2026-04-25T02:35:45Z,RNA205,"27.918728,84.15358",24825,450,287
1777084576,2026-04-25T02:36:16Z,RNA205,"27.937775,84.084641",25300,457,287
1777084607,2026-04-25T02:36:47Z,RNA205,"27.957458,84.013313",25800,463,287
1777084640,2026-04-25T02:37:20Z,RNA205,"27.978594,83.936676",26350,465,287
1777084672,2026-04-25T02:37:52Z,RNA205,"27.999168,83.861549",27000,466,287
1777084703,2026-04-25T02:38:23Z,RNA205,"28.01889,83.789398",27525,470,287
1777084735,2026-04-25T02:38:55Z,RNA205,"28.039261,83.714813",28050,472,287
1777084767,2026-04-25T02:39:27Z,RNA205,"28.059828,83.639343",28525,476,287
1777084799,2026-04-25T02:39:59Z,RNA205,"28.081146,83.560799",28950,475,286
1777084830,2026-04-25T02:40:30Z,RNA205,"28.100653,83.488983",29400,474,286
1777084861,2026-04-25T02:41:01Z,RNA205,"28.120298,83.416122",29900,474,286
1777084894,2026-04-25T02:41:34Z,RNA205,"28.141342,83.338165",30450,469,286
1777084926,2026-04-25T02:42:06Z,RNA205,"28.161575,83.262955",31025,464,286
1777084958,2026-04-25T02:42:38Z,RNA205,"28.181534,83.188797",31575,464,286
1777084991,2026-04-25T02:43:11Z,RNA205,"28.201998,83.112488",32100,465,286
1777085021,2026-04-25T02:43:41Z,RNA205,"28.22127,83.040375",32625,463,286
1777085052,2026-04-25T02:44:12Z,RNA205,"28.239937,82.970474",33125,459,286
1777085084,2026-04-25T02:44:44Z,RNA205,"28.259676,82.896263",33650,458,286
1777085116,2026-04-25T02:45:16Z,RNA205,"28.279358,82.821861",33925,459,286
1777085147,2026-04-25T02:45:47Z,RNA205,"28.297806,82.75161",34025,455,286
1777085180,2026-04-25T02:46:20Z,RNA205,"28.317719,82.676659",34000,457,286
1777085210,2026-04-25T02:46:50Z,RNA205,"28.336487,82.605988",34000,456,286
1777085241,2026-04-25T02:47:21Z,RNA205,"28.355154,82.534897",34000,455,286
1777085272,2026-04-25T02:47:52Z,RNA205,"28.373495,82.464668",34000,454,286
1777085303,2026-04-25T02:48:23Z,RNA205,"28.392014,82.394554",34025,453,286
1777085335,2026-04-25T02:48:55Z,RNA205,"28.410831,82.322334",34000,452,286
1777085368,2026-04-25T02:49:28Z,RNA205,"28.430466,82.246872",33975,453,286
1777085399,2026-04-25T02:49:59Z,RNA205,"28.448957,82.175903",33975,454,286
1777085431,2026-04-25T02:50:31Z,RNA205,"28.467682,82.103363",33975,453,286
1777085464,2026-04-25T02:51:04Z,RNA205,"28.487045,82.028099",33975,455,286
1777085495,2026-04-25T02:51:35Z,RNA205,"28.505219,81.957428",34000,454,286
1777085525,2026-04-25T02:52:05Z,RNA205,"28.523483,81.886703",34000,457,286
1777085558,2026-04-25T02:52:38Z,RNA205,"28.54248,81.812599",34000,457,286
1777085588,2026-04-25T02:53:08Z,RNA205,"28.560425,81.742561",34025,457,286
1777085619,2026-04-25T02:53:39Z,RNA205,"28.578745,81.670906",34025,458,286
1777085650,2026-04-25T02:54:10Z,RNA205,"28.597183,81.598999",34025,456,286
1777085682,2026-04-25T02:54:42Z,RNA205,"28.616089,81.525894",34025,456,286
1777085714,2026-04-25T02:55:14Z,RNA205,"28.635445,81.450699",34025,455,286
1777085745,2026-04-25T02:55:45Z,RNA205,"28.653168,81.381752",34050,452,286
